len	tc	intersection	union	enrichment
0	0	0	2597477	0
0	0.05	0	2597477	0
0	0.1	0	2597477	0
0	0.15	0	2597477	0
0	0.2	0	2597477	0
0	0.25	0	2597477	0
0	0.3	0	2597477	0
0	0.35	0	2597477	0
0	0.4	0	2597477	0
0	0.45	0	2597477	0
0	0.5	0	2597477	0
0	0.55	0	2597477	0
0	0.6	0	2597477	0
0	0.65	0	2597477	0
0	0.7	0	2597477	0
0	0.75	0	2597477	0
0	0.8	0	2597477	0
0	0.85	0	2597477	0
0	0.9	0	2597477	0
0	0.95	0	2597477	0
0	1	0	2597477	0
50	0	0	2597477	0
50	0.05	159211	2988980	0.05326
50	0.1	189355	3125205	0.06058
50	0.15	213566	3304641	0.06462
50	0.2	239921	3520737	0.06814
50	0.25	267660	3832045	0.06984
50	0.3	306476	4231681	0.07242
50	0.35	352522	4787485	0.07363
50	0.4	406752	5566253	0.07307
50	0.45	473788	6641971	0.07133
50	0.5	549249	8240691	0.06665
50	0.55	1549754	19395798	0.0799
50	0.6	1695814	22651229	0.07486
50	0.65	1860065	26737651	0.06956
50	0.7	2040473	31405506	0.06497
50	0.75	2232198	36126854	0.06178
50	0.8	2398835	40065742	0.05987
50	0.85	2521805	42703121	0.05905
50	0.9	2580754	44325537	0.05822
50	0.95	2596134	45058958	0.05761
50	1	0	2597477	0
100	0	0	2597477	0
100	0.05	268496	3756224	0.07148
100	0.1	291279	3988330	0.07303
100	0.15	308231	4247869	0.07256
100	0.2	328229	4484852	0.07318
100	0.25	354733	4761054	0.0745
100	0.3	379141	5078188	0.07466
100	0.35	405938	5466770	0.07425
100	0.4	433197	5940024	0.07292
100	0.45	466278	6550158	0.07118
100	0.5	508191	7377277	0.06888
100	0.55	1461819	17300063	0.08449
100	0.6	1523290	18893206	0.08062
100	0.65	1626224	21046966	0.07726
100	0.7	1752140	23945768	0.07317
100	0.75	1898501	27820228	0.06824
100	0.8	2091706	32686745	0.06399
100	0.85	2304390	37934760	0.06074
100	0.9	2496612	42125423	0.05926
100	0.95	2587593	44584470	0.05803
